id,name,category,region,status,reason,image_url,image_source,source_title,url_title,score,non_food_keyword,prev_url,prev_title,prev_url_reachable,license,flags
409,Seekh Kebab,Curry & Kebab,Common Across Pakistan,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/3/32/Pakistani_gobi_aloo%2C_seekh_kebab%2C_and_beef_karahi.jpg,"Wikimedia Commons via Openverse (Pakistani gobi aloo, seekh kebab, and beef karahi ★)",,"Pakistani gobi aloo, seekh kebab, and beef karahi",1,,https://upload.wikimedia.org/wikipedia/commons/3/32/Pakistani_gobi_aloo%2C_seekh_kebab%2C_and_beef_karahi.jpg,"Pakistani gobi aloo, seekh kebab, and beef karahi",,by,probe-ratelimited
1256,Seekh Paratha Roll,Snacks,Common Across Pakistan,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,"Wikimedia Commons via Openverse (Pakistani gobi aloo, seekh kebab, and beef karahi ★)",,,,,,,,,no-candidate
1259,Seekh Roll,Snacks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,"Wikimedia Commons via Openverse (Pakistani gobi aloo, seekh kebab, and beef karahi ★)",,,,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Feast_of_Veg_Kebabs.jpg,Feast of Veg Kebabs,false,by-sa,prev-url-available;prev-url-unverified
167,Sela Rice,Rice,Punjab,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Khyma and Basmati rice ★),,,,,,,,,no-candidate
1243,Sev Puri,Snacks,Common Across Pakistan,MISSING_BUT_PREVIOUS_URL_AVAILABLE,image_source present but image_url NULL; Pass-1 URL exists,,"Wikimedia Commons via Openverse (Bhel puri chat, photographed in West Bengal, India, September 24, 2024 ★)",,,,,https://upload.wikimedia.org/wikipedia/commons/4/43/Sev_Puri.jpg,Sev Puri,false,by-sa,prev-url-available;prev-url-unverified
605,Seviyan,Dessert,Common Across Pakistan,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/7/72/Seviyan-kheer-seviyan-payasam.jpg,Wikimedia Commons via Openverse (Seviyan-kheer-seviyan-payasam),,Seviyan-kheer-seviyan-payasam,1,,https://upload.wikimedia.org/wikipedia/commons/7/72/Seviyan-kheer-seviyan-payasam.jpg,Seviyan-kheer-seviyan-payasam,,by-sa,probe-ratelimited
593,Shahi Tukray,Dessert,Common Across Pakistan,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/f/fd/Shahi_Tukray_%28Shahi_Tukda%29..JPG,Wikimedia Commons via Openverse (Shahi Tukray Shahi Tukda. ★),,Shahi Tukray (Shahi Tukda).,1,,https://upload.wikimedia.org/wikipedia/commons/f/fd/Shahi_Tukray_%28Shahi_Tukda%29..JPG,Shahi Tukray (Shahi Tukda).,,cc0,probe-ratelimited
214,Shahi Zarda,Rice,Khyber Pakhtunkhwa,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/6/69/Shahi_Rice_Kheer.jpg,Wikimedia Commons via Openverse (Shahi Rice Kheer ★),,Shahi Rice Kheer,0.5,,,,,,probe-ratelimited
301,Shami Boti,Curry & Kebab,Punjab,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (4th October 2012 Shami Kebab ★),,,,,,,,,no-candidate
171,Shami Kabab Chawal,Rice,Punjab,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (4th October 2012 Shami Kebab ★),,,,,,,,,no-candidate
410,Shami Kebab,Curry & Kebab,Common Across Pakistan,GOOD,url reachable (200); title overlaps name,https://upload.wikimedia.org/wikipedia/commons/d/df/4th_October_2012_Shami_Kebab.jpg,Wikimedia Commons via Openverse (4th October 2012 Shami Kebab ★),,4th October 2012 Shami Kebab,1,,https://upload.wikimedia.org/wikipedia/commons/d/df/4th_October_2012_Shami_Kebab.jpg,4th October 2012 Shami Kebab,,by-sa,
1262,Shami Roll,Snacks,Common Across Pakistan,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (4th October 2012 Shami Kebab ★),,,,,,,,,no-candidate
767,Sheer Chai,Drinks,Common Across Pakistan,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Sheer Khurma ★),,,,,,,,,no-candidate
604,Sheer Khurma,Dessert,Common Across Pakistan,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/e/ed/Sheer_Khurma.jpg,Wikimedia Commons via Openverse (Sheer Khurma ★),,Sheer Khurma,1,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Sheer_Khurma.jpg,Sheer Khurma,,by,probe-ratelimited
1003,Sheermal,Bread,Common Across Pakistan,GOOD,url reachable (200); title overlaps name,https://upload.wikimedia.org/wikipedia/commons/4/44/Sheermal_bread_made_in_Iran.jpg,Wikimedia Commons via Openverse (Sheermal bread made in Iran ★),,Sheermal bread made in Iran,1,,https://upload.wikimedia.org/wikipedia/commons/4/44/Sheermal_bread_made_in_Iran.jpg,Sheermal bread made in Iran,,by-sa,
